# Jugadores BSC 2026 (players_catalog)
# BrawlForge — edita en Excel o Google Sheets. Guarda como CSV UTF-8.
# Las filas que empiezan por # y las filas _ayuda / _ejemplo NO se importan.
# En listas usa el carácter | entre valores (ej. jugador1|jugador2).
slug,ign,real_name,team_slug,region,role,status,fantasy_points,fantasy_ownership,rating,bio,photo_url,previous_teams
_ayuda,Nombre en juego,Nombre real,slug del equipo,EMEA|EA|NA|SA,Player,active|inactive|retired,0-100,0-100,0-2,Bio en perfil,URL foto,slug1|slug2
_ejemplo,Yoshi,,sk-gaming,EMEA,Player,active,92,28,1.18,Jugador estrella de SK Gaming. Capitán habitual en Monthly Finals.,,fut-esports|tribe-gaming
achapi,Achapi,,fennel,EA,Player,active,81,41,1.27,,,
angelboy,Angelboy,Ярослав Лабунец,fut-esports,EMEA,Player,active,62,52,1.09,,,
arthur,Arthur,Arthur Kornfeld,big,EMEA,Player,active,69,10,1.15,,,
battoman,Battoman,,zeta-division,EA,Player,active,78,55,1.16,,,
belal,Belal,,vatic-esports,NA,Player,active,79,27,1.05,,,
bobby,bobby,Daniel Levitt,only-realm,NA,Player,active,93,20,1.19,,,
boss,BosS,Bartomeu Vadell Planisi,hmble,EMEA,Player,active,86,31,1.07,,,
brabao,Brabao,Juliano Feliz Grokoski,olimpo-squad,SA,Player,active,67,9,1.17,,,
cauebr,CaueBR,Caue Felipe da Silva,eternal-esports,SA,Player,active,73,24,1.28,,,
danshari,Danshari,,frenzy-esports,EA,Player,active,83,30,1.13,,,
david,David,,ace-xero,EA,Player,active,92,54,1.23,,,
decaii,Decaii,Nemanja Mitrović,metizport,EMEA,Player,active,74,37,1.19,,,
diegogamer,Diegogamer,,tribe-gaming,NA,Player,active,76,18,1.09,,,
doin,Doin,Woojin Kim,team-elektros,NA,Player,active,63,34,1.09,,,
drage,Drage,Muhammad Talha Amir,natus-vincere,EMEA,Player,active,77,22,1.28,,,
duckie,Duckie,,vatic-esports,NA,Player,active,91,20,1.21,,,
ducky,Ducky,,f-a-homeless,NA,Player,active,96,62,1.12,,,
edinho,Edinho,Edson Hideki Takahashi,loud,SA,Player,active,63,36,1.08,,,
engine,Engine,唐文偈,toxic-lotus,EA,Player,active,82,39,1.27,,,
enraged,Enraged,Edward Stowe,natus-vincere,EMEA,Player,active,92,26,1.04,,,
ezlivi,Ezlivi,Ethan Zachary Livingston,vatic-esports,NA,Player,active,76,53,1.06,,,
filippo,Filippo,Filippo Xu,novo-esports,EMEA,Player,active,91,46,1.23,,,
