# Jugadores BSC 2026 (players_catalog)
# BrawlForge — edita en Excel o Google Sheets. Guarda como CSV UTF-8.
# Las filas que empiezan por # y las filas _ayuda / _ejemplo NO se importan.
# En listas usa el carácter | entre valores (ej. jugador1|jugador2).
slug,ign,real_name,team_slug,region,role,status,fantasy_points,fantasy_ownership,rating,bio,photo_url,previous_teams
_ayuda,Nombre en juego,Nombre real,slug del equipo,EMEA|EA|NA|SA,Player,active|inactive|retired,0-100,0-100,0-2,Bio en perfil,URL foto,slug1|slug2
_ejemplo,Yoshi,,sk-gaming,EMEA,Player,active,92,28,1.18,Jugador estrella de SK Gaming. Capitán habitual en Monthly Finals.,,fut-esports|tribe-gaming
joker,Joker,Erik Bravo Granström,totem-esports,EMEA,Player,active,96,64,1.12,,,
gero,GeRo,Łukasz Gerek,natus-vincere,EMEA,Player,active,96,22,1.17,,,
zeyrox,zeyrox,,fut-esports-academy,EMEA,Player,active,96,22,1.07,,,
drake,drake,,feasible-gaming,EA,Player,active,96,47,1.22,,,
ducky,Ducky,,f-a-homeless,NA,Player,active,96,62,1.12,,,
michu,michu,,vic-day,NA,Player,active,96,10,1.12,,,
pekka,Pekka,Gustavo Sandoval,skcalalas,SA,Player,active,96,51,1.22,,,
lipizin,Lipizin,,oddyssey,SA,Player,active,96,8,1.26,,,
fire-murilo,Fire Murilo,,acre-lovers,SA,Player,active,96,43,1.1400000000000001,,,
jxcr,Jxcr,José Tomas Aguilera Espinoza,f-a-zurita-gaming,SA,Player,active,96,30,1.12,,,
rup,Rup,David Rupérez Ureña,madridmira,EMEA,Player,active,95,62,1.26,,,
sizuku,Sizuku,,zeta-division,EA,Player,active,95,50,1.22,,,
yutapin,Yutapin,,rival-esports,EA,Player,active,95,66,1.11,,,
lxffy,Lxffy,Kevin Jomar Calderon Velez,tribe-gaming,NA,Player,active,95,61,1.26,,,
tacos,Tacos,Brayan Daniel,stmn-esports,NA,Player,active,95,53,1.16,,,
dreww,Dreww,,oddyssey,SA,Player,active,95,48,1.26,,,
lukii,Lukii,Luke Pies,hmble,EMEA,Player,active,94,71,1.05,,,
guesti,Guesti,Михайло Чернов,fut-esports,EMEA,Player,active,94,10,1.08,,,
master,master,,fut-esports-academy,EMEA,Player,active,94,14,1.27,,,
milkreo,Milkreo,,crazy-raccoon,EA,Player,active,94,25,1.08,,,
minzzun,Minzzun,,wwl-esports,EA,Player,active,94,33,1.23,,,
sergeant-clash,Sergeant Clash,अश्मित राज सिंह,revenant-xspark,EMEA,Player,active,94,53,1.24,,,
