# Equipos BSC 2026 (teams_catalog)
# BrawlForge — edita en Excel o Google Sheets. Guarda como CSV UTF-8.
# Las filas que empiezan por # y las filas _ayuda / _ejemplo NO se importan.
# En listas usa el carácter | entre valores (ej. jugador1|jugador2).
slug,name,tag,region,country,earnings,rank,rank_change,description,logo_url,roster_slugs
_ayuda,Nombre en ficha,Abreviatura,EMEA|EA|NA|SA|GLOBAL,País,USD,Nº ranking,+/-,Texto largo en página del equipo,URL opcional,slug1|slug2|slug3
_ejemplo,SK Gaming,SK,EMEA,Germany,842000,1,2,SK Gaming es uno de los clubes históricos del BSC 2026. Esta descripción aparece en la ficha pública del equipo.,,yoshi|nowy297|ope
hmble,HMBLE,HMB,EMEA,Italy,0,13,0,HMBLE compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,boss|lukii|symantec
fut-esports,FUT Esports,FE,EMEA,Turkey,0,12,0,FUT Esports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,angelboy|guesti|nob
sk-gaming,SK Gaming,SG,EMEA,Germany,0,37,0,SK Gaming compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,nowy297|ope|yoshi
team-heretics,Team Heretics,TH,EMEA,Spain,0,2,0,Team Heretics compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,ikaoss|marco|subeme
natus-vincere,Natus Vincere,NV,EMEA,Ukraine,0,16,0,Natus Vincere compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,drage|gero|lenain
totem-esports,Totem Esports,TE,EMEA,Italy,0,28,0,Totem Esports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,joker|maru|maury
novo-esports,NOVO Esports,NE,EMEA,italy,0,18,0,NOVO Esports compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,filippo|meow|terry
big,BIG,BIG,EMEA,Germany,0,34,0,BIG compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,amos|arthur|salty
big-talents,Big Talents,BT,EMEA,United States,0,6,0,Big Talents compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,dompe|mine|nes
cmm,CMM,CMM,EMEA,Serbia,0,68,0,CMM compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,kellow|mine|dompe
fut-esports-academy,FUT Esports Academy,FEA,EMEA,Turkey,0,103,0,FUT Esports Academy compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,ferissa|master|zeyrox
kebap,Kebap,KEB,EMEA,tr,0,38,0,Kebap compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,dede|yuffy|ray092
metizport,Metizport,MET,EMEA,Norway,0,36,0,Metizport compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,decaii|ciro|kellow
madridmira,madridmira,,GLOBAL,,0,,0,madridmira compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,
crazy-raccoon,Crazy Raccoon,CR,EA,Japan,0,8,0,Crazy Raccoon compite en el Brawl Stars Championship 2026. Edita este párrafo: se muestra en la ficha pública del equipo.,,milkreo|moya|tensai
